time,instruction,arg_1,arg_2
3.55,POSITION,'{"8": {"position": 2068, "speed": 8000}, "9": {"position": 931, "speed": 8000}, "10": {"position": 931, "speed": 8000}, "11": {"position": 2068, "speed": 8000}}',
3.56,POSITION,{},
3.56,POSITION,'{"8": {"position": 2066, "speed": 8000}, "9": {"position": 933, "speed": 8000}, "10": {"position": 933, "speed": 8000}, "11": {"position": 2066, "speed": 8000}}',
3.58,POSITION,{},
3.59,POSITION,{},
3.6,POSITION,{},
3.61,POSITION,'{"8": {"position": 2063, "speed": 8000}, "9": {"position": 936, "speed": 8000}, "10": {"position": 936, "speed": 8000}, "11": {"position": 2063, "speed": 8000}}',
3.62,POSITION,{},
3.64,POSITION,{},
3.66,POSITION,{},
3.67,POSITION,{},
